Density,Population Size,Infectious Time,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,Iteration 31,Iteration 32,Iteration 33,Iteration 34,Iteration 35,Iteration 36,Iteration 37,Iteration 38,Iteration 39,Iteration 40,Iteration 41,Iteration 42,Iteration 43,Iteration 44,Iteration 45,Iteration 46,Iteration 47,Iteration 48,Iteration 49,Iteration 50,Iteration 51,Iteration 52,Iteration 53,Iteration 54,Iteration 55,Iteration 56,Iteration 57,Iteration 58,Iteration 59,Iteration 60,Iteration 61,Iteration 62,Iteration 63,Iteration 64,Iteration 65,Iteration 66,Iteration 67,Iteration 68,Iteration 69,Iteration 70,Iteration 71,Iteration 72,Iteration 73,Iteration 74,Iteration 75,Iteration 76,Iteration 77,Iteration 78,Iteration 79,Iteration 80,Iteration 81,Iteration 82,Iteration 83,Iteration 84,Iteration 85,Iteration 86,Iteration 87,Iteration 88,Iteration 89,Iteration 90,Iteration 91,Iteration 92,Iteration 93,Iteration 94,Iteration 95,Iteration 96,Iteration 97,Iteration 98,Iteration 99
0.01,100,2,98,96,98,98,98,98,100,98,98,97,99,99,96,98,97,97,97,98,97,95,99,99,99,97,100,96,98,99,99,100,94,94,98,97,98,99,97,99,99,97,100,97,100,98,98,96,98,98,98,97,99,97,98,99,97,99,96,95,97,98,98,95,97,99,100,99,96,97,97,100,98,98,98,99,99,98,98,99,96,97,98,98,97,99,96,99,98,98,98,96,96,95,100,99,98,96,97,98,96,95
0.01,100,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99
0.01,100,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.01,100,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.5,30,1,27,25,27,26,23,24,27,26,25,26,27,23,22,25,27,25,26,24,28,28,26,22,23,28,25,28,25,24,25,24,28,22,25,26,25,24,28,25,28,26,24,26,23,27,24,27,27,25,27,25,27,25,22,27,24,27,20,23,27,26,29,29,25,25,23,25,27,27,27,25,26,24,25,21,27,28,28,25,23,23,29,28,28,26,28,22,23,27,24,24,30,27,26,27,22,26,27,27,23,26
0.5,30,2,30,30,26,28,28,29,29,29,29,30,30,30,29,29,30,30,29,26,28,30,29,29,29,29,29,28,29,30,30,28,30,29,30,30,27,30,30,29,29,27,29,29,28,30,28,30,29,30,29,30,30,28,30,28,28,30,30,28,30,30,28,30,30,29,30,30,30,30,30,29,30,29,30,30,29,28,28,30,29,30,26,29,30,30,30,29,29,28,30,30,30,29,30,28,28,30,29,30,29,29
0.5,30,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.5,30,7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.5,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0.5,50,1,37,42,44,45,35,42,41,40,43,44,45,43,44,44,47,43,40,44,42,47,41,42,42,42,42,43,45,42,42,44,43,44,42,41,44,43,46,40,42,46,43,47,43,46,45,43,43,42,38,38,40,48,41,44,38,43,46,45,40,47,44,44,45,41,43,38,45,41,42,41,46,46,43,42,43,45,45,49,44,39,44,42,42,48,47,41,38,46,39,40,45,42,48,43,42,44,44,42,44,43
0.5,50,2,47,48,50,49,50,49,50,50,46,50,50,49,50,48,49,50,49,49,48,50,50,50,49,49,46,46,49,49,48,47,50,50,50,49,48,48,50,50,49,49,50,50,49,49,50,48,49,50,49,49,49,48,49,49,49,48,50,48,49,50,47,49,47,49,50,50,49,49,50,48,49,49,50,48,50,49,48,50,49,50,50,49,50,47,48,48,50,50,48,49,49,49,49,45,48,50,50,50,48,49
0.5,50,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.5,50,7,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.5,50,10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
0.5,100,1,89,86,81,88,90,85,81,83,78,88,92,81,84,89,91,86,89,88,85,87,85,84,90,89,90,83,85,79,79,84,87,84,85,89,86,80,85,85,84,92,88,87,84,86,87,88,80,86,83,85,84,86,81,91,82,82,87,83,83,85,84,85,83,88,83,79,87,85,87,86,79,89,85,85,86,85,86,85,88,90,86,88,87,90,83,85,86,89,81,87,85,79,83,83,80,86,84,92,84,81
0.5,100,2,98,97,97,99,99,98,99,98,99,98,98,100,100,98,99,99,98,99,98,99,100,97,96,97,98,100,97,95,97,96,98,96,98,98,98,98,98,98,92,100,98,98,100,100,99,95,99,97,99,98,96,98,98,98,98,95,97,98,99,93,96,100,98,95,93,99,99,96,99,97,98,97,100,94,98,97,96,98,98,97,93,96,99,98,96,98,98,97,98,98,97,97,97,98,97,98,98,94,100,94
0.5,100,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.5,100,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.5,100,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1.0,30,1,26,28,27,26,25,28,26,25,23,26,28,24,23,25,27,23,27,27,23,24,25,27,26,24,28,26,28,24,22,25,21,27,23,27,23,23,25,22,26,28,27,29,24,23,25,20,27,23,28,28,26,29,25,25,26,24,26,27,28,25,24,25,26,26,23,27,26,28,25,27,23,25,25,23,25,27,22,26,23,27,20,23,26,25,25,26,25,25,26,27,25,23,25,27,27,28,27,25,21,25
1.0,30,2,29,30,30,30,30,29,30,27,29,29,29,30,30,30,29,30,29,29,30,30,29,28,30,29,30,29,28,30,28,30,30,30,28,29,29,29,29,28,29,27,28,27,29,30,27,29,29,30,30,30,29,28,30,28,30,30,30,29,27,30,29,30,30,29,30,29,30,30,28,30,29,29,30,29,30,30,30,30,29,29,28,30,30,30,29,30,29,29,30,29,30,28,30,29,30,29,30,30,30,29
1.0,30,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,29
1.0,30,7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1.0,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1.0,50,1,39,43,44,43,39,44,43,42,43,42,44,42,40,43,42,41,45,44,42,37,39,44,43,41,41,43,40,46,40,38,42,48,39,42,43,44,44,39,42,41,43,44,44,46,43,47,43,37,43,46,43,42,42,46,41,45,43,40,41,40,42,32,43,43,45,42,37,46,43,46,46,40,45,42,41,43,42,44,41,38,45,44,41,38,43,40,44,41,47,41,43,46,44,42,43,41,44,38,46,43
1.0,50,2,48,49,50,49,50,48,49,48,48,47,50,50,49,49,50,49,50,48,49,48,50,48,50,47,49,49,49,50,48,47,48,49,49,50,47,50,49,47,48,48,48,48,50,49,49,50,49,50,49,49,50,49,47,50,48,49,49,50,50,50,49,49,49,46,49,48,50,49,49,50,49,49,50,49,50,50,50,47,48,48,50,50,46,49,49,49,50,46,50,49,49,49,49,49,50,50,49,49,50,47
1.0,50,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1.0,50,7,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1.0,50,10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1.0,100,1,78,82,83,84,90,85,86,85,81,85,84,82,90,86,90,86,85,89,85,85,83,86,81,84,86,89,87,80,88,88,88,81,82,83,89,85,88,91,87,85,91,83,91,91,85,83,82,85,87,91,84,84,90,84,90,81,87,86,90,86,91,89,88,83,87,86,81,82,84,83,90,87,88,88,87,86,85,82,82,82,77,83,86,81,87,83,85,88,87,85,89,87,88,85,86,84,83,81,87,87
1.0,100,2,99,98,99,97,98,100,99,97,99,95,100,98,98,98,98,96,98,100,100,96,98,99,99,97,98,98,97,98,99,97,97,96,100,98,98,97,99,97,100,98,99,99,95,97,97,96,99,98,100,96,97,96,99,97,99,96,93,99,98,95,96,98,97,97,97,96,96,98,97,98,96,94,97,96,96,99,99,99,98,95,96,99,97,99,99,98,99,96,99,100,99,98,97,97,98,100,99,97,96,96
1.0,100,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1.0,100,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1.0,100,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2.0,30,1,22,26,26,25,23,29,29,26,24,26,23,26,27,26,27,28,23,28,28,23,26,25,24,23,23,25,27,27,26,26,26,27,21,24,24,26,28,23,24,23,23,26,25,26,24,28,25,27,22,26,26,25,27,24,24,24,24,25,23,27,26,26,24,25,25,24,27,29,21,25,27,24,28,28,26,28,26,26,28,30,23,26,22,26,23,26,26,25,26,27,26,23,26,26,23,26,28,26,25,24
2.0,30,2,28,30,30,29,29,29,29,29,29,30,30,30,30,30,30,29,30,30,30,30,30,28,30,29,30,30,29,29,29,30,30,30,28,28,30,30,30,29,26,30,30,29,28,30,30,27,30,30,29,29,29,30,30,30,29,30,29,29,29,29,29,29,30,29,29,28,29,30,29,30,30,29,30,28,28,30,30,30,30,30,30,29,26,30,29,30,30,29,30,29,30,29,29,30,29,28,30,29,29,29
2.0,30,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2.0,30,7,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2.0,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
2.0,50,1,40,48,42,45,40,47,42,41,39,46,41,38,45,41,36,43,40,42,45,44,41,38,42,43,43,38,41,44,44,44,41,42,44,43,41,46,44,43,42,46,41,44,43,43,48,42,41,44,47,46,45,41,42,43,44,43,41,39,47,44,38,45,46,44,41,44,46,45,48,44,42,41,41,45,43,40,43,39,45,42,38,44,39,47,41,47,41,38,46,41,43,41,36,43,42,44,44,44,42,45
2.0,50,2,49,48,48,48,48,50,50,45,49,50,48,49,50,50,50,49,48,47,49,48,48,49,50,48,49,49,50,49,47,50,49,48,48,48,49,50,50,46,49,48,49,50,49,49,49,48,50,49,47,48,47,49,47,50,46,49,48,47,48,49,49,46,49,49,50,48,48,49,50,50,49,48,48,50,50,49,49,49,48,48,49,49,50,50,49,50,50,48,48,49,49,49,49,50,48,49,48,49,48,50
2.0,50,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2.0,50,7,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2.0,50,10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2.0,100,1,82,83,87,81,78,85,81,89,88,88,84,85,89,86,83,85,84,90,91,90,81,84,80,87,87,85,93,86,87,81,85,86,89,87,83,85,88,74,87,78,79,78,82,82,80,88,86,80,87,82,85,87,83,86,85,76,82,88,86,85,87,84,83,92,85,92,85,87,87,79,83,93,90,91,79,83,83,92,84,87,90,85,89,88,83,89,84,88,80,89,85,83,87,94,84,86,81,84,87,80
2.0,100,2,99,96,97,94,97,99,100,98,98,98,99,96,98,96,99,99,98,100,98,100,96,98,98,100,97,100,98,95,100,97,97,97,98,100,95,99,99,99,98,98,98,94,97,98,99,99,98,99,97,99,98,100,98,97,100,96,98,99,97,96,97,98,100,99,98,100,98,100,99,100,98,97,94,99,98,96,96,97,99,99,97,97,99,100,98,100,99,98,97,98,98,96,100,99,99,97,97,96,97,99
2.0,100,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2.0,100,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2.0,100,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
